,hucid,states
15797,1806000601,CA
15798,1802015303,CA
15799,1803001008,CA
15800,1803001213,CA
15801,1809020623,CA
15802,1803000908,CA
15803,1809020825,CA
15804,1802000310,CA
15805,1802000208,CA
15806,1810010052,CA
15807,1804000309,CA
15808,1804000701,CA
15809,1802012801,CA
15810,1803000316,CA
15811,1809020402,CA
15812,1804000605,CA
15813,1809020814,CA
15814,1805000504,CA
15815,1802016307,CA
15816,1804001202,CA
15817,1802000502,CA
15818,1803000601,CA
15819,1801020704,CA
15820,1807020402,CA
15821,1809020320,CA
15822,1804001007,CA
15823,1806001401,CA
15824,1802016303,CA
15825,1804000106,CA
15826,1807020304,CA
15827,1803000703,CA
15828,1802015302,CA
15829,1802015603,CA
15830,1803000705,CA
15831,1803001203,CA
15832,1803001216,CA
15833,1807010102,CA
15834,1809020613,CA
15835,1809020210,NV
15836,1807030203,CA
15837,1810010016,CA
15838,1807010208,CA
15839,1802012902,CA
15840,1805000203,CA
15841,1810010030,CA
15842,1802011603,CA
15843,1802010405,CA
15844,1803000314,CA
15845,1801010509,CA
15846,1807010606,CA
15847,1801010206,CA
15848,1802012509,CA
15849,1806000206,CA
15850,1805000410,CA
15851,1802016304,CA
15852,1802015301,CA
15853,1803001204,CA
15854,1801010202,CA
15855,1803000305,CA
15856,1802000404,CA
15857,1801021204,CA
15858,1802015201,CA
15859,1809020706,CA
15860,1806000902,CA
15861,1803000501,CA
15862,1801010403,CA
15863,1809020408,CA
15864,1801010402,CA
15865,1806000506,CA
15866,1802015502,CA
15867,1802015701,CA
15868,1801020801,CA
15869,1807030413,"CA,MX"
15870,1803001222,CA
15871,1802015901,CA
15872,1809020605,CA
15873,1809020108,CA
15874,1801010807,CA
15875,1802010412,CA
15876,1804000804,CA
15877,1802015208,CA
15878,1801020803,CA
15879,1801010305,CA
15880,1803000311,CA
15881,1809020304,CA
15882,1809020606,CA
15883,1803001221,CA
15884,1807010602,CA
15885,1807010700,CA
15886,1809020619,CA
15887,1809020322,CA
15888,1801020206,OR
15889,1804000110,CA
15890,1806000402,CA
15891,1802012502,CA
15892,1802000301,CA
15893,1809020310,CA
15894,1802000402,CA
15895,1804000705,CA
15896,1805000304,CA
15897,1809010202,CA
15898,1801020605,"CA,OR"
15899,1805000506,CA
15900,1804001003,CA
15901,1804001204,CA
15902,1802012901,CA
15903,1801020802,CA
15904,1808000315,CA
15905,1801020303,OR
15906,1807030513,"CA,MX"
15907,1809010204,CA
15908,1807020307,CA
15909,1809020301,"CA,NV"
15910,1803001202,CA
15911,1807030405,CA
15912,1802000103,"CA,OR"
15913,1810010046,CA
15914,1801021101,CA
15915,1802011505,CA
15916,1810020103,CA
15917,1804000302,CA
15918,1809020615,CA
15919,1806000606,CA
15920,1803000910,CA
15921,1804001308,CA
15922,1802011604,CA
15923,1802015902,CA
15924,1806000806,CA
15925,1804000103,CA
15926,1802012905,CA
15927,1803000603,CA
15928,1808000316,CA
15929,1806000513,CA
15930,1810020402,CA
15931,1810020101,CA
15932,1809020607,CA
15933,1803000302,CA
15934,1810020414,CA
15935,1802012601,CA
15936,1801010602,CA
15937,1809020213,NV
15938,1803000706,CA
15939,1803001001,CA
15940,1810010014,CA
15941,1801020414,"CA,OR"
15942,1808000306,CA
15943,1805000501,CA
15944,1809020206,"CA,NV"
15945,1809020710,CA
15946,1801010802,CA
15947,1809020209,NV
15948,1805000303,CA
15949,1810010004,CA
15950,1809020802,CA
15951,1801020602,"CA,OR"
15952,1804000904,CA
15953,1807010203,CA
15954,1801021201,CA
15955,1803001224,CA
15956,1809020702,CA
15957,1801021003,CA
15958,1809020511,CA
15959,1810010040,CA
15960,1802012508,CA
15961,1803000503,CA
15962,1806001003,CA
15963,1802012305,CA
15964,1805000502,CA
15965,1801010204,CA
15966,1803000204,CA
15967,1804000613,CA
15968,1803000105,CA
15969,1806000706,CA
15970,1806000701,CA
15971,1807030512,"CA,MX"
15972,1806000802,CA
15973,1802011607,CA
15974,1810010026,CA
15975,1810010054,CA
15976,1801020901,"CA,OR"
15977,1802000216,CA
15978,1809020217,CA
15979,1803001211,CA
15980,1802011503,CA
15981,1806000804,CA
15982,1802000209,CA
15983,1802015606,CA
15984,1809020614,CA
15985,1804000607,CA
15986,1801010502,CA
15987,1805000202,CA
15988,1802012306,CA
15989,1801011001,CA
15990,1809020313,CA
15991,1807030304,CA
15992,1802015801,CA
15993,1804000111,CA
15994,1802000305,CA
15995,1810010011,CA
15996,1803000505,CA
15997,1809020102,CA
15998,1804000102,CA
15999,1805000403,CA
16000,1807030510,CA
16001,1802000306,CA
16002,1809010305,CA
16003,1810010051,CA
16004,1803000708,CA
16005,1801020609,"CA,OR"
16006,1809020601,CA
16007,1803001208,CA
16008,1804000203,CA
16009,1809020104,CA
16010,1802000212,CA
16011,1807010603,CA
16012,1809020219,CA
16013,1809020410,CA
16014,1801020205,OR
16015,1803000605,CA
16016,1804000609,CA
16017,1803001201,CA
16018,1802016202,CA
16019,1805000102,CA
16020,1802000203,CA
16021,1809020701,CA
16022,1802016201,CA
16023,1807010101,CA
16024,1806000511,CA
16025,1805000302,CA
16026,1801010201,CA
16027,1803000313,CA
16028,1801020908,CA
16029,1802012505,CA
16030,1803000707,CA
16031,1803000602,CA
16032,1810020102,CA
16033,1809010303,CA
16034,1803001212,CA
16035,1809020510,CA
16036,1801020401,CA
16037,1803000307,CA
16038,1802000308,CA
16039,1807010601,CA
16040,1806001004,CA
16041,1808000311,"CA,NV"
16042,1805000405,CA
16043,1810010025,CA
16044,1809020205,NV
16045,1807030408,CA
16046,1803000710,CA
16047,1807030104,CA
16048,1809020316,CA
16049,1809020103,"CA,NV"
16050,1803000904,CA
16051,1809020703,CA
16052,1807020401,CA
16053,1809020815,CA
16054,1801021110,CA
16055,1803001210,CA
16056,1804001101,CA
16057,1802000219,CA
16058,1809020807,CA
16059,1809020507,CA
16060,1803000309,CA
16061,1801020404,"CA,OR"
16062,1803000709,CA
16063,1801020805,CA
16064,1801021001,CA
16065,1809020203,"CA,NV"
16066,1802012206,CA
16067,1809020509,CA
16068,1804000104,CA
16069,1802012903,CA
16070,1801020101,OR
16071,1801020105,OR
16072,1801020501,CA
16073,1804005103,CA
16074,1802016203,CA
16075,1808000304,CA
16076,1803000712,CA
16077,1807010405,CA
16078,1801020907,CA
16079,1802012205,CA
16080,1802015706,CA
16081,1803000306,CA
16082,1810010005,CA
16083,1809010208,CA
16084,1802010401,CA
16085,1809020707,CA
16086,1809020309,CA
16087,1807020309,CA
16088,1802000202,CA
16089,1804000912,CA
16090,1803000713,CA
16091,1806001502,CA
16092,1802012503,CA
16093,1806000205,CA
16094,1804000120,CA
16095,1804001305,CA
16096,1802015504,CA
16097,1809010304,CA
16098,1804001005,CA
16099,1809010106,"CA,NV"
16100,1801020406,"CA,OR"
16101,1804001207,CA
16102,1805000104,CA
16103,1809020709,CA
16104,1801020201,OR
16105,1801021105,CA
16106,1809020321,CA
16107,1801021203,CA
16108,1809020810,CA
16109,1801010704,CA
16110,1809020822,CA
16111,1804001201,CA
16112,1804000801,CA
16113,1810020416,CA
16114,1803000104,CA
16115,1809020504,CA
16116,1809020804,CA
16117,1802015104,CA
16118,1802012208,CA
16119,1802016205,CA
16120,1801010205,CA
16121,1803000402,CA
16122,1802015207,CA
16123,1809020308,"CA,NV"
16124,1810010049,CA
16125,1807020301,CA
16126,1802000303,CA
16127,1804000601,CA
16128,1807010401,CA
16129,1804001210,CA
16130,1806000512,CA
16131,1809020801,CA
16132,1802000214,CA
16133,1801020806,CA
16134,1803000203,CA
16135,1802015705,CA
16136,1808000303,CA
16137,1810010013,CA
16138,1803000304,CA
16139,1803001206,CA
16140,1809020513,CA
16141,1808000309,"CA,NV"
16142,1809020708,CA
16143,1806001007,CA
16144,1802015602,CA
16145,1806000803,CA
16146,1802015604,CA
16147,1802000215,CA
16148,1807030101,CA
16149,1809020823,CA
16150,1806000301,CA
16151,1802011102,CA
16152,1807030505,"CA,MX"
16153,1802012302,CA
16154,1806000705,CA
16155,1802015202,CA
16156,1804000205,CA
16157,1806000508,CA
16158,1809020809,CA
16159,1804001307,CA
16160,1804000908,CA
16161,1810020306,CA
16162,1810020201,CA
16163,1810020203,CA
16164,1807030410,CA
12202,1503010201,"CA,NV"
12210,1503010203,"CA,NV"
12337,1503010409,CA
12348,1503010104,"AZ,CA"
12354,1503010413,"AZ,CA"
12361,1503010403,"AZ,CA"
12389,1503010401,"AZ,CA"
12407,1503010202,CA
12480,1503010405,CA
12482,1503010411,"AZ,CA"
12516,1503010103,"AZ,CA,NV"
12564,1503010105,CA
12567,1503010106,CA
12572,1503010412,"AZ,CA"
12582,1503010410,CA
12590,1503010408,CA
12603,1503010407,"AZ,CA"
12604,1503010406,"AZ,CA"
12614,1503010402,CA
12656,1503010404,"AZ,CA"
12695,1503010701,"AZ,CA,MX"
12744,1503010107,"AZ,CA"
12836,1605020103,"CA,NV"
12839,1605010202,CA
12843,1605010105,"CA,NV"
12885,1605030103,"CA,NV"
12886,1605030201,CA
12914,1605030204,"CA,NV"
12948,1605020102,"CA,NV"
12964,1606001009,"CA,NV"
12983,1605010102,"CA,NV"
12990,1605030102,"CA,NV"
13012,1606001513,"CA,NV"
13032,1606001008,"CA,NV"
13038,1606001011,"CA,NV"
